Incident Date,State,City Or County,Address,# Killed,# Injured
2018-05-13,California,Los Angeles,365 W Manchester Avenue,2,2
2018-05-13,Mississippi,Byhalia,French Rd and Berta Rd,0,4
2018-05-13,California,Stockton,2436 Belleview Street,3,2
2018-05-14,Maryland,Baltimore,2020 Etting St,0,4
2018-05-16,Texas,Ponder,610 Lone Star Park Ln,5,1
2018-05-18,Texas,Santa Fe,16000 Hwy 6,10,13
2018-05-20,Mississippi,Hazlehurst,513 Monticello St,1,7
2018-05-20,Indiana,Anderson,1604 Madison Ave,0,4
2018-05-25,Ohio,Cincinnati,1000 block of Ross Avenue,0,4
2018-05-27,Colorado,Aurora,15373 E 6th Ave,1,3
2018-05-27,Louisiana,Shreveport,857 E Stoner Ave,0,4
2018-05-31,South Carolina,Timmonsville,544 Chaney Grove Rd,3,2
2018-06-02,New York,Buffalo,Strauss Street,0,5
2018-06-02,Nebraska,Omaha,S 11th St and Farnam St,1,6
2018-06-03,Illinois,Chicago,1200 block of W 73rd Pl,1,3
2018-06-03,Texas,Dallas,4500 Spring Ave,0,5
2018-06-05,Florida,Jacksonville,Town Center Pkwy,3,1
2018-06-09,Pennsylvania,Philadelphia,2000 block of 20th St,1,4
2018-06-09,North Carolina,Kannapolis,1709 S Cannon Blvd,0,4
2018-06-09,Massachusetts,Boston,14 Copeland St,0,4
2018-06-10,Florida,Bradenton,5627 14th St W,1,5
2018-06-10,California,Valley Village,12719 Tiara St,0,6
2018-06-10,Illinois,Chicago,6400 block of S Eberhart Ave,1,5
2018-06-10,Illinois,Aurora,300 block of W Park Ave,0,7
2018-06-10,Illinois,Bloomington,1200 block of Orchard Rd,2,2
2018-06-10,Indiana,Indianapolis (Lawrence),4745 N Richardt Ave,1,4
2018-06-11,Florida,Orlando,4932 Eaglesmere Dr,5,1
2018-06-11,Alabama,Montgomery,3220 block of Virginia Pines Ln,0,4
2018-06-12,New York,Bronx,W 166th St and  Summit Ave,0,4
2018-06-14,Colorado,Westminster,5150 W 80th Ave,1,3
2018-06-14,New York,Buffalo,Marigold Ave,1,4
2018-06-14,California,Tracy,West 6th Street,1,4
2018-06-14,California,Union City,32992 Mission Blvd,0,5
2018-06-14,Pennsylvania,Philadelphia,400 block of Penn St,0,4
2018-06-17,New Jersey,Trenton,635 S Clinton Ave,1,19
2018-06-17,North Carolina,Charlotte,3215 Queen City Dr,0,4
2018-06-17,Illinois,Chicago,2200 block of S Sacramento Ave,0,4
2018-06-17,Georgia,Macon,325 Edgewood Ln,1,3
2018-06-18,Illinois,Bloomington,311 Riley Dr,3,1
2018-06-18,Illinois,Chicago,1300 block of S Loomis St,2,3
2018-06-19,Alabama,Huntsville,905 Lee Dr NW,0,4
2018-06-20,California,Modesto,2300 block of West Hatch Road,0,5
2018-06-21,Illinois,Chicago,6500 block of S Claremont Ave,0,4
2018-06-21,Louisiana,Morganza,Deaton Ln,0,4
2018-06-21,California,San Bernardino,279 W Base Line,1,3
2018-06-22,Pennsylvania,Homestead (Munhall),1300 block of Margaret St,1,3
2018-06-23,Tennessee,Covington,319 N High St,0,4
